quote,movie,type,year,clean_quote,clean_quote_light,clean_quote_strict
"I’m funny how?  Funny, like, I’m a clown?  I amuse you?",Goodfellas,movie,1990,i’m funny how funny like i’m a clown i amuse you,i m funny how funny like i m a clown i amuse you,funny funny like clown amuse
This valley is just one long smorgasbord.,Tremors,movie,1990,this valley is just one long smorgasbord,this valley is just one long smorgasbord,valley one long smorgasbord
"As far back as I can remember, I always wanted to be a gangster.",Goodfellas,movie,1990,as far back as i can remember i always wanted to be a gangster,as far back as i can remember i always wanted to be a gangster,far back remember always want gangster
Better dead and cool then alive and uncool.,Harley Davidson and The Marlboro Man,movie,1991,better dead and cool then alive and uncool,better dead and cool then alive and uncool,well dead cool alive uncool
"You're a... you're a complex Freudian hallucination having something to do with my mother and I don't know why you have wings, but you have very lovely legs and you're a very nice tiny person and what am I saying? I don't know who my mother was. I'm an orphan and I've never taken drugs because I missed the sixties; I was an accountant.",Hook,movie,1991,youre a youre a complex freudian hallucination having something to do with my mother and i dont know why you have wings but you have very lovely legs and youre a very nice tiny person and what am i saying i dont know who my mother was im an orphan and ive never taken drugs because i missed the sixties i was an accountant,you re a you re a complex freudian hallucination having something to do with my mother and i don t know why you have wings but you have very lovely legs and you re a very nice tiny person and what am i saying i don t know who my mother was i m an orphan and i ve never taken drugs because i missed the sixties i was an accountant,complex freudian hallucination something mother know wing lovely legs nice tiny person say know mother orphan never take drug miss sixty accountant
"Oh, and Senator, just one more thing. Love your suit.",The Silence of the Lambs,movie,1991,oh and senator just one more thing love your suit,oh and senator just one more thing love your suit,oh senator one thing love suit
"Hook, you let those kids out of that net in less than one minute or you better get an attorney and hope to God he's better than me.",Hook,movie,1991,hook you let those kids out of that net in less than one minute or you better get an attorney and hope to god hes better than me,hook you let those kids out of that net in less than one minute or you better get an attorney and hope to god he s better than me,hook let kid net less one minute well get attorney hope god well
"Hasta la vista, baby.",Terminator 2: Judgment Day,movie,1991,hasta la vista baby,hasta la vista baby,hasta la vista baby
"And you'd better deliver, Miss Bell, or no amount of clapping will bring you back from where I will send you.",Hook,movie,1991,and youd better deliver miss bell or no amount of clapping will bring you back from where i will send you,and you d better deliver miss bell or no amount of clapping will bring you back from where i will send you,well deliver miss bell amount clap bring back send
"Of course it's hard. It's supposed to be hard. If it wasn't hard, everyone would do it. The hard is what makes it great",A League of their Own,movie,1992,of course its hard its supposed to be hard if it wasnt hard everyone would do it the hard is what makes it great,of course it s hard it s supposed to be hard if it wasn t hard everyone would do it the hard is what makes it great,course hard suppose hard hard everyone would hard make great
There's no crying in baseball!,A League of Their Own,movie,1992,theres no crying in baseball,there s no crying in baseball,cry baseball
You can't handle the truth!,A Few Good Men,movie,1992,you cant handle the truth,you can t handle the truth,handle truth
"Party on, Wayne! Party on, Garth!",Wayne's World,movie,1992,party on wayne party on garth,party on wayne party on garth,party wayne party garth
"You shoot me in a dream, you better wake up and apologise.",Reservoir Dogs,movie,1992,you shoot me in a dream you better wake up and apologise,you shoot me in a dream you better wake up and apologise,shoot dream well wake apologise
"You're killing me, smalls!",The Sandlot,movie,1993,youre killing me smalls,you re killing me smalls,kill small
"Life, uh, finds a way.",Jurassic Park,movie,1993,life uh finds a way,life uh finds a way,life uh find way
Clever girl.,Jurassic Park,movie,1993,clever girl,clever girl,clever girl
"What do you call them, Max? Yabbos? Max likes your yabbos. In fact, he loves them!",Hocus Pocus,movie,1993,what do you call them max yabbos max likes your yabbos in fact he loves them,what do you call them max yabbos max likes your yabbos in fact he loves them,call max yabbos max like yabbos fact love
You bred raptors?,Jurassic Park,movie,1993,you bred raptors,you bred raptors,breed raptor
I'm your Huckleberry.,Tombstone,movie,1993,im your huckleberry,i m your huckleberry,huckleberry
"You’re killin’ me, Smalls.",The Sandlot,movie,1993,you’re killin’ me smalls,you re killin me smalls,killin small
